company_name;founded;industry;location;about;stage;amount;Table
Runo;2019;Computer Software;Secunderabad;Runo delivers the functionalities of a full-function Customer Relationship Management suite, all built into a mobile app.;Pre-series A;465000;2022
Actyv.ai;2019;Computer Software;Bangalore;Large enterprises are using Actyv.ai to transform their supply chains and to empower their Channel Partners.;Pre-series A;4650000;2022
Krishify;2019;Social Media;Gurgaon;Rural social network;Pre-series A;5766000;2022
Chargeup;2019;Renewables & Environment;New Delhi;Charge-up offers  Battery as a Service, solving the high cost problem  and inconvenience of  long charging hours,  through its distributed  network of battery swapping hubs.;Pre-series A;2325000;2022
GoalTeller;2020;Information Technology & Services;Bangalore;GoalTeller is a bootstrapped fintech startup with an aim to provide financial planning tools to individual investors.;Pre-series A;465000;2022
Prolance;2020;Furniture;Bangalore;Prolance,  a manufacturing platform for interior design companies;Pre-series A;465000;2022
ClaimBuddy;2020;Hospital & Health Care;Gurgaon;ClaimBuddy.in is a MediClaim support company that acts as one-stop solutions for Claim assistance for Patients & Hospitals.;Pre-series A;2790000;2022
Strawcture Eco;2018;Building Materials;New Delhi;Strawcture Eco is a Green building material company commercialising 100% Sustainable products by compressed agri- fiber technology.;Seed;348750;2022
Bebe Burp;2018;Food & Beverages;Surat;Bebe Burp is a company that has its core values embedded around helping working parents.;Seed;260400;2022
TABPS Pets;2018;Food Production;Coimbatore;Pet Food And Cosmetics;Seed;465000;2022
Ensologic;2019;International Trade & Development;New Delhi;Ensologic is India's numero uno cross border consumer goods e-commerce platform.;Seed;483600;2022
Eat Better Ventures;2020;Food & Beverages;Jaipur;Makes delicious healthy snacks and helps people eat better without compromising on taste.;Seed;651000;2022
Nutrify Today;2020;International Trade & Development;Bangalore;Nutrify Today is largest Nutraceutical industry, Food tech and Pharma OTC  platform  that enables and empowers nutraceutical business by way of curated supply chain, Market access, and Peer networking.;Seed;465000;2022
EdgeGrid;2020;Software Development;Hyderabad;The Energy Cloud of India - One energy platform where everyone can connect, transact and create Value.;Seed;5580000;2022
Kuhoo;2021;Financial Services;Mumbai;Kuhoo is a student loan fintech NBFC platform that aspires to democratise education for all, especially for households that belong to humble socio-economic backgrounds.;Seed;18600000;2022
Beatoven AI;2021;Computer Software;Bangalore;Beatoven AI is a simplified music creator tool that helps create music for videos and podcasts.;Seed;930000;2022
Cosmofeed;2021;Content monetisation platform;Gurgaon;Helping content creators make money and bringing them closer to their fans.;Seed;1395000;2022
O'hi;2021;Internet Publishing;Jaipur;Ohi is a new social network where people of different geographies, cultures, professions can connect with each other in restaurants.;Seed;279000;2022
UPCRED;2021;Internet Publishing;Bangalore;Founded to empower the world’s creators to be as economically successful as possible.;Pre-seed;372000;2022
WYLD;2022;Consumer Services;Mumbai;WYLD is a phygital payment card and mobile app exclusively designed for active social media users;Pre-seed;325500;2022
inFeedo;2013;Human Resources;Gurgaon;Asia’s leading employee experience platform that helps engage employees, predict attrition & answer FAQs with conversational AI that people love;Series A;11160000;2022
Snapmint;2015;Financial Services;Mumbai;At Snapmint, are eliminating the dependency on Credit Card and the hassle of physical documentation during loan applications, thereby making shopping a happy experience.;Series A;8370000;2022
Prozo;2016;Logistics & Supply Chain;Noida;Prozo is an 'e-commerce enabler & accelerator' for SMEs, D2C brands and Enterprises.;Series A;9300000;2022
CureSkin;2016;Health, Wellness & Fitness;Bangalore;Artificial intelligence-driven beauty and personal care brand;Series A;4650000;2022
Oxyzo;2016;Financial Services;Gurgaon;A tech-enabled smart financing solution provider;Series A;186000000;2022
Shipskart;2017;Maritime;New Delhi;ShipsKart is a one stop shop for all marine needs.;Series A;2511000;2022
